Region,City,Latitude,Longitude,Season,Rainfall,Temperature,Humidity,SoilMoisture,RiverLevel,WindSpeed,Pressure,PopulationDensity,InfrastructureIndex,PrimaryThreat,RiskLevel
Uttarakhand,Dehradun,30.347540626111734,78.07978657043513,Post-Monsoon,41.1,37.8,58.6,17.8,4.94,7.1,1007.9,10248,7.7,None,Low
Kerala,Kochi,9.964670304565876,76.27784956339858,Monsoon,735.8,15.2,75.3,84.7,4.97,8.6,1001.6,19060,6.1,None,Low
Delhi,New Delhi,28.643401221874775,77.1610446072166,Winter,17.0,22.3,24.0,23.8,4.08,13.0,1008.2,13035,6.9,None,Low
Kerala,Kochi,9.97580390858759,76.27289379743384,Winter,3.9,28.8,79.3,62.6,4.24,18.3,1006.1,24727,2.1,None,Low
Kerala,Kochi,9.926355360212106,76.2213685149762,Monsoon,653.1,15.0,84.5,84.9,4.47,13.9,1014.5,20941,4.8,None,Low
Maharashtra,Mumbai,19.100785435291673,72.97441767637284,Summer,42.5,37.7,25.1,16.0,3.63,15.1,1000.8,17389,5.8,None,Low
Tamil Nadu,Chennai,13.136806616979504,80.2130885192618,Summer,42.5,43.1,19.9,15.9,3.27,8.8,1011.8,19411,3.4,None,Low
Uttarakhand,Dehradun,30.220095594284583,78.0818943516438,Winter,31.5,10.8,68.3,55.9,1.28,16.7,1006.4,7760,5.1,None,Low
Tamil Nadu,Chennai,13.059012838708014,80.17224224279973,Summer,34.5,43.2,17.0,12.1,4.45,10.5,1005.1,24167,6.1,None,Low
Maharashtra,Mumbai,19.13860060606301,72.83976581960782,Summer,24.8,46.9,34.5,3.4,3.47,16.4,1001.5,2229,6.5,None,Low
Delhi,New Delhi,28.54473642297891,77.1844978836937,Winter,49.0,40.0,56.1,18.7,1.91,17.8,1007.6,13716,6.0,None,Low
Uttarakhand,Dehradun,30.35950114008015,78.04671206648368,Post-Monsoon,35.5,37.1,32.9,32.3,3.29,19.2,1006.7,14937,2.1,None,Low
Uttarakhand,Dehradun,30.37020231124395,78.01841736307402,Post-Monsoon,4.2,25.7,70.7,66.9,2.47,6.3,1007.0,18844,4.0,None,Low
Odisha,Bhubaneswar,20.243662741344618,85.78185604437269,Post-Monsoon,7.8,25.9,69.0,64.1,3.31,13.4,1002.0,13054,5.6,None,Low
Rajasthan,Jaipur,26.879484787022456,75.84172257532325,Monsoon,278.3,16.6,99.9,94.5,6.23,19.8,1004.8,9387,8.3,None,Low
Kerala,Kochi,9.906508511130491,76.2389229165585,Summer,35.9,39.8,15.4,17.9,1.58,13.1,1005.5,7428,6.5,None,Low
Tamil Nadu,Chennai,13.02094504611122,80.19746450307291,Summer,37.8,44.0,24.7,0.6,4.98,6.6,1003.6,11097,2.8,None,Low
Assam,Guwahati,26.111422995927224,91.70618507132458,Monsoon,217.7,28.8,92.6,90.7,5.23,6.9,1012.7,10008,2.3,None,Low
Odisha,Bhubaneswar,20.278149736317285,85.87877675608972,Post-Monsoon,343.8,30.8,77.3,36.2,3.24,134.0,950.1,6954,6.5,Cyclone,High
Gujarat,Ahmedabad,23.032292569277224,72.65012493078981,Post-Monsoon,28.4,18.0,55.4,49.1,3.6,15.5,1014.9,7213,6.6,None,Low
West Bengal,Kolkata,22.584979419770278,88.33049995216713,Post-Monsoon,10.6,32.8,40.4,12.8,1.6,5.1,1012.7,22435,2.3,None,Low
Tamil Nadu,Chennai,13.096371105220571,80.31131898144882,Summer,42.7,45.7,25.6,14.1,1.28,16.1,1009.2,17918,6.8,None,Low
Delhi,New Delhi,28.65388948963682,77.28952193729373,Post-Monsoon,41.0,19.7,75.9,32.6,1.59,19.6,1012.9,19698,3.6,None,Low
Assam,Guwahati,26.140295963851262,91.70696102808922,Post-Monsoon,1.8,10.2,79.2,40.7,2.68,15.3,1001.0,7280,3.1,None,Low
Kerala,Kochi,9.902629782744336,76.27670585880584,Summer,11.0,44.1,34.9,4.2,2.55,9.3,1002.5,10762,7.9,None,Low
Odisha,Bhubaneswar,20.29085408644957,85.86567590239558,Winter,14.6,34.3,24.7,45.8,3.04,10.9,1012.9,9798,6.4,None,Low
Gujarat,Ahmedabad,23.00626034584057,72.57649416017192,Post-Monsoon,13.7,22.6,28.2,59.5,2.65,5.6,1008.6,4164,4.8,None,Low
Rajasthan,Jaipur,26.99232120581539,75.78042883145059,Monsoon,112.8,27.6,79.9,87.2,8.86,9.2,1009.5,11087,4.7,None,Low
West Bengal,Kolkata,22.52967176047489,88.42132744299218,Winter,36.9,12.0,67.1,10.7,3.79,10.3,1010.9,2208,2.5,None,Low
Uttarakhand,Dehradun,30.33405501826438,77.94691138396234,Summer,35.7,46.3,22.6,9.4,2.31,16.6,1007.8,23652,3.6,None,Low
Rajasthan,Jaipur,27.001547373163397,75.7656341281533,Monsoon,333.0,18.3,80.9,86.8,5.09,13.8,1006.7,8507,8.5,None,Low
Gujarat,Ahmedabad,23.094942708067283,72.58505056564833,Summer,32.1,35.6,29.0,3.5,4.38,14.3,1004.7,16806,6.5,None,Low
Maharashtra,Mumbai,19.056436433633845,72.82777714951119,Winter,25.8,29.9,76.7,54.8,1.12,9.7,1008.4,10780,6.8,None,Low
Odisha,Bhubaneswar,20.20280858342277,85.77469550452624,Summer,19.0,47.8,27.8,0.2,3.67,16.9,1002.3,12366,2.1,None,Low
Odisha,Bhubaneswar,20.395216641160598,85.8050283881052,Summer,2.3,41.9,11.4,2.9,2.51,12.3,1004.3,3333,2.6,Drought,Moderate
Tamil Nadu,Chennai,13.093522636869768,80.25150624170773,Post-Monsoon,17.4,15.8,78.3,47.1,2.42,13.7,1008.1,7681,8.6,None,Low
Delhi,New Delhi,28.602905219068163,77.30436595513869,Monsoon,198.4,12.3,77.8,88.1,7.05,13.7,1006.9,21032,5.5,None,Low
Maharashtra,Mumbai,18.99323952357961,72.86590683175525,Winter,31.7,32.7,50.9,10.2,2.13,14.0,1006.2,9884,8.2,None,Low
Gujarat,Ahmedabad,23.017606992401856,72.4981466335841,Winter,19.7,39.9,76.8,41.0,1.0,8.0,1006.2,11458,3.6,None,Low
Kerala,Kochi,9.923443549856186,76.23659633087674,Monsoon,665.0,34.4,90.9,88.1,5.57,15.8,1011.9,20370,8.3,None,Low
Tamil Nadu,Chennai,13.093664077130951,80.3468595818956,Summer,18.6,41.0,20.4,3.7,1.13,10.0,1007.1,8957,3.8,None,Low
Tamil Nadu,Chennai,13.015186671736938,80.22627523057722,Winter,37.4,21.6,25.6,77.3,4.27,11.8,1000.8,13711,3.9,None,Low
Gujarat,Ahmedabad,22.925512632365308,72.66845975443384,Post-Monsoon,1.4,19.1,65.8,36.7,1.28,7.6,1014.7,20415,3.5,None,Low
Rajasthan,Jaipur,26.950985170946268,75.8260400263406,Summer,46.6,47.3,29.3,15.6,4.26,12.4,1006.4,10993,5.9,None,Low
West Bengal,Kolkata,22.628648207702238,88.43032531802176,Post-Monsoon,333.0,38.8,68.2,76.5,1.55,196.5,972.2,1193,5.7,Cyclone,High
Delhi,New Delhi,28.65644428727636,77.143809267428,Winter,9.9,31.6,35.1,15.2,4.61,6.6,1001.5,22456,5.9,None,Low
Gujarat,Ahmedabad,22.930381048572066,72.54705750240127,Winter,25.6,23.2,68.4,29.4,1.61,13.2,1008.0,15425,6.5,None,Low
Maharashtra,Mumbai,19.085757078829566,72.87634878441347,Summer,15.5,43.8,25.3,3.4,1.66,13.8,1013.6,16701,5.6,None,Low
Tamil Nadu,Chennai,13.002039111216762,80.2009507184387,Winter,14.7,25.4,23.2,75.9,4.69,5.8,1010.1,23007,4.5,None,Low
Tamil Nadu,Chennai,13.042248926153027,80.24101177690626,Post-Monsoon,38.2,30.9,58.9,62.8,2.88,11.9,1008.7,5552,2.9,None,Low
Maharashtra,Mumbai,19.091131976149295,72.82122069575932,Winter,26.5,13.3,49.8,60.7,4.24,18.5,1014.6,6213,7.8,None,Low
West Bengal,Kolkata,22.59819805174223,88.31267975571586,Winter,40.6,21.5,34.3,68.4,2.55,17.6,1004.1,3867,7.7,None,Low
West Bengal,Kolkata,22.575951099236274,88.38827950193901,Post-Monsoon,5.3,38.5,25.7,30.4,4.08,5.8,1004.4,17171,8.9,None,Low
Assam,Guwahati,26.134690937524493,91.71613544089617,Post-Monsoon,18.7,18.8,37.5,77.2,2.57,16.5,1010.5,8098,5.9,None,Low
Assam,Guwahati,26.057613419451368,91.71574991734869,Monsoon,791.4,29.2,80.4,95.1,7.66,17.5,1009.9,11189,6.1,Flood,High
West Bengal,Kolkata,22.489625986655156,88.36874065613546,Post-Monsoon,0.9,20.1,68.9,20.1,4.37,18.5,1003.1,24354,4.5,None,Low
Odisha,Bhubaneswar,20.19843899528603,85.90669562120239,Summer,1.2,36.9,26.2,9.7,4.17,16.4,1009.4,19600,5.9,Drought,Moderate
Kerala,Kochi,9.933315385118968,76.27835355764005,Winter,31.3,26.0,73.9,39.5,2.21,17.5,1010.3,7969,6.2,None,Low
Rajasthan,Jaipur,26.928788397472673,75.77279087948207,Summer,30.6,41.5,38.5,6.3,1.29,7.7,1008.2,20326,8.7,None,Low
West Bengal,Kolkata,22.627350757407388,88.39104531889284,Post-Monsoon,3.8,12.1,63.3,19.6,1.72,16.1,1011.9,8723,6.0,None,Low
